ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,ADM2_PCODE,region_name,admin1_pcode,geometry,lon,lat
66,Cavite Biofuels Ecozone,Agro-Industrial,Operating,"Barangay Caluangan, Municipality of Magallanes, Province of Cavite",Municipality of Magallanes,Magallanes,PH160208000,Agusan del Norte,PH160200000,Region XIII,PH160000000,"c(120.7575, 14.18833)",120.7575,14.18833
67,Cavite Economic Zone,Manufacturing,Operating,"Rosario, Cavite",Cavite,Cavite City,PH042105000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.8554197, 14.4159654)",120.8554197,14.4159654
68,Cavite Economic Zone II,Manufacturing,Operating,"Bacao, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.88339, 14.40579)",120.88339,14.40579
69,Cavite Technopark-Special Economic Zone,Manufacturing,Operating,"Barangay Sabang, Naic, Cavite",Naic,Naic,PH042115000,Cavite,PH042100000,Region IV-A,PH040000000,"c(120.794463250909, 14.313605909193)",120.794463250909,14.313605909193
70,CBP-IT Park,IT Park,Operating,"Barangays Mabolo, Luz, Hipodromo, Carreta, and Kamputhaw, Cebu City",and Kamputhaw,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.90551, 10.32577)",123.90551,10.32577
72,Cebu I.T. Park,IT Park,Operating,"Lahug and Apas, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.89279, 10.3343)",123.89279,10.3343
73,Cebu I.T. Tower,IT Center,Operating,"Corner Mindanao and Bohol Streets, Cebu Business Park, Cebu City",Cebu Business Park,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.904481718272, 10.320136812665)",123.904481718272,10.320136812665
74,Cebu Light Industrial Park,Manufacturing,Operating,"Basak, Lapu-lapu City, Mactan, Cebu",Mactan,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000,"c(124.00706, 10.30623)",124.00706,10.30623
75,Cebu South Road Properties,Manufacturing,Operating,"South Reclamation Project, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.715110515002, 10.56921486546)",123.715110515002,10.56921486546
76,Central Technopark,Manufacturing,Operating,"San Miguel, Tarlac",Tarlac,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000,"c(120.6118002, 15.4616333)",120.6118002,15.4616333
77,Centrio Corporate Center,IT Center,Operating,"C. M. Recto Avenue and Corrales Street, Cagayan de Oro City",Cagayan de Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.650471184706, 8.485902393463)",124.650471184706,8.485902393463
78,Century City,IT Park,Operating,"Kalayaan Avenue corner Salamanca Street, Barangay Poblacion, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.028389307218, 14.564836809675)",121.028389307218,14.564836809675
79,CIIF Agro-Industrial Park,Manufacturing,Operating,"Barangay Kiwalan, Iligan City, Lanao del Norte",Iligan City,Iligan City,PH103504000,Lanao del Norte,PH103500000,Region X,PH100000000,"c(124.266934542588, 8.279961668879)",124.266934542588,8.279961668879
80,CIIF Agro-Industrial Park – Cagayan,Agro-Industrial,Operating,"Purok 3, Tablon, Cagayan de Oro City",Tablon,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000,"c(124.7186829, 8.476735)",124.7186829,8.476735
81,CIIF Agro-Industrial Park - Davao,Agro-Industrial,Operating,"KM 9.5, Barangay Sasa, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000,"c(125.65322, 7.13451)",125.65322,7.13451
82,Citynet Central,IT Center,Operating,"Sultan Street, Barangay Highway Hills, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.051798052642, 14.581508242445)",121.051798052642,14.581508242445
83,CityNet1,IT Center,Operating,"183 EDSA near corner Ortigas Ave., Wack-Wack, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.058313120649, 14.593227489196)",121.058313120649,14.593227489196
84,Clark Special Economic Zone,Manufacturing,Operating,"Angeles City, Municipalities of Mabalacat and Porac, Pampanga and the Municipalities of Capas and Bamban, Tarlac",Pampanga and the Municipalities of Capas and Bamban,Angeles City,PH035401000,Pampanga,PH035400000,Region III,PH030000000,"c(120.5939098, 15.3411537)",120.5939098,15.3411537
86,Cocochem Agro-Industrial Park,Manufacturing,Operating,"San Antonio, San Pascual, Batangas",San Pascual,San Pascual,PH054120000,Masbate,PH054100000,Region V,PH050000000,"c(121.0183035, 13.7890472)",121.0183035,13.7890472
87,Cornerstone Business Center,IT Center,Operating,"Barangay San Rafael, Mandurriao, Iloilo City",Mandurriao,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000,"c(122.53556, 10.71972)",122.53556,10.71972
88,Crown 7 I.T. Center,IT Center,Operating,"Juan Luna Avenue, Mabolo, Cebu City, Cebu",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000,"c(123.911859678995, 10.318882502764)",123.911859678995,10.318882502764
89,Cyber Omega,IT Center,Operating,"Pearl Drive, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.060532392692, 14.58086667759)",121.060532392692,14.58086667759
90,Cyber Park Building One,IT Center,Operating,"Corner General Aguinaldo Avenue and P. Tuazon  Street, Araneta Center Cubao, Quezon City",Araneta Center Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.055138893917, 14.617554580149)",121.055138893917,14.617554580149
91,Cyber Sigma (formerly Bonifacio Summit Center),IT Center,Operating,"Lawton Avenue, Bonifacio South, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000,"c(121.03858494782, 14.534735460564)",121.03858494782,14.534735460564
92,Cybergate Iloilo Towers [formerly- Robinsons Cybergate Pavia Towers],IT Center,Operating,"Barangay Ungka II, Pavia, Iloilo",Pavia,Pavia,PH063036000,Iloilo,PH063000000,Region VI,PH060000000,"c(122.539032998706, 10.766644226577)",122.539032998706,10.766644226577
93,Cyberscape Alpha,IT Center,Operating,"Sapphire and Garnet Roads, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.062420710517, 14.587393752798)",121.062420710517,14.587393752798
94,Cyberscape Beta,IT Center,Operating,"Topaz and Ruby Roads, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.061031120392, 14.585132079471)",121.061031120392,14.585132079471
95,Cyberscape Gamma,IT Center,Operating,"Topaz and Ruby Roads, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000,"c(121.061031120392, 14.585132079471)",121.061031120392,14.585132079471
